"";"spol";"regija";"leto";"kriterij";"umrli"
"148";"M";"CE";"2015";"umrli.na.1000.prebivalcev";10,1
"149";"M";"CE";"2015";"umrli.dojencki.na.1000.zivorojenih";1,5
"150";"M";"CE";"2015";"povprecna.starost.umrlega";72,3
"151";"M";"CE";"2016";"umrli.na.1000.prebivalcev";9,7
"152";"M";"CE";"2016";"umrli.dojencki.na.1000.zivorojenih";0
"153";"M";"CE";"2016";"povprecna.starost.umrlega";72,6
"154";"M";"CE";"2017";"umrli.na.1000.prebivalcev";10,4
"155";"M";"CE";"2017";"umrli.dojencki.na.1000.zivorojenih";2,4
"156";"M";"CE";"2017";"povprecna.starost.umrlega";73
"157";"M";"CE";"2018";"umrli.na.1000.prebivalcev";10
"158";"M";"CE";"2018";"umrli.dojencki.na.1000.zivorojenih";2,5
"159";"M";"CE";"2018";"povprecna.starost.umrlega";74
"160";"M";"CE";"2019";"umrli.na.1000.prebivalcev";9,9
"161";"M";"CE";"2019";"umrli.dojencki.na.1000.zivorojenih";3,3
"162";"M";"CE";"2019";"povprecna.starost.umrlega";73,4
"163";"M";"CE";"2020";"umrli.na.1000.prebivalcev";11,6
"164";"M";"CE";"2020";"umrli.dojencki.na.1000.zivorojenih";1,6
"165";"M";"CE";"2020";"povprecna.starost.umrlega";75
"166";"M";"ZA";"2010";"umrli.na.1000.prebivalcev";10,9
"167";"M";"ZA";"2010";"umrli.dojencki.na.1000.zivorojenih";4,6
"168";"M";"ZA";"2010";"povprecna.starost.umrlega";70,9
"169";"M";"ZA";"2011";"umrli.na.1000.prebivalcev";11,1
"170";"M";"ZA";"2011";"umrli.dojencki.na.1000.zivorojenih";0
"171";"M";"ZA";"2011";"povprecna.starost.umrlega";70,4
"172";"M";"ZA";"2012";"umrli.na.1000.prebivalcev";10,5
"173";"M";"ZA";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"174";"M";"ZA";"2012";"povprecna.starost.umrlega";71,9
"175";"M";"ZA";"2013";"umrli.na.1000.prebivalcev";12,1
"176";"M";"ZA";"2013";"umrli.dojencki.na.1000.zivorojenih";0
"177";"M";"ZA";"2013";"povprecna.starost.umrlega";72,7
"178";"M";"ZA";"2014";"umrli.na.1000.prebivalcev";11,8
"179";"M";"ZA";"2014";"umrli.dojencki.na.1000.zivorojenih";0
"180";"M";"ZA";"2014";"povprecna.starost.umrlega";72,5
"181";"M";"ZA";"2015";"umrli.na.1000.prebivalcev";10,5
"182";"M";"ZA";"2015";"umrli.dojencki.na.1000.zivorojenih";3,4
"183";"M";"ZA";"2015";"povprecna.starost.umrlega";71,2
"184";"M";"ZA";"2016";"umrli.na.1000.prebivalcev";10,6
"185";"M";"ZA";"2016";"umrli.dojencki.na.1000.zivorojenih";0
"186";"M";"ZA";"2016";"povprecna.starost.umrlega";72,6
"187";"M";"ZA";"2017";"umrli.na.1000.prebivalcev";10,7
"188";"M";"ZA";"2017";"umrli.dojencki.na.1000.zivorojenih";7
"189";"M";"ZA";"2017";"povprecna.starost.umrlega";73,5
"190";"M";"ZA";"2018";"umrli.na.1000.prebivalcev";10,5
"191";"M";"ZA";"2018";"umrli.dojencki.na.1000.zivorojenih";7,8
"192";"M";"ZA";"2018";"povprecna.starost.umrlega";72,8
"193";"M";"ZA";"2019";"umrli.na.1000.prebivalcev";11,4
"194";"M";"ZA";"2019";"umrli.dojencki.na.1000.zivorojenih";4,3
"195";"M";"ZA";"2019";"povprecna.starost.umrlega";74
"196";"M";"ZA";"2020";"umrli.na.1000.prebivalcev";12
"197";"M";"ZA";"2020";"umrli.dojencki.na.1000.zivorojenih";0
"198";"M";"ZA";"2020";"povprecna.starost.umrlega";73,6
"199";"M";"KK";"2010";"umrli.na.1000.prebivalcev";11,8
"200";"M";"KK";"2010";"umrli.dojencki.na.1000.zivorojenih";0
"201";"M";"KK";"2010";"povprecna.starost.umrlega";70,5
"202";"M";"KK";"2011";"umrli.na.1000.prebivalcev";9,6
"203";"M";"KK";"2011";"umrli.dojencki.na.1000.zivorojenih";11,1
"204";"M";"KK";"2011";"povprecna.starost.umrlega";71,5
"205";"M";"KK";"2012";"umrli.na.1000.prebivalcev";11,2
"206";"M";"KK";"2012";"umrli.dojencki.na.1000.zivorojenih";2,8
"207";"M";"KK";"2012";"povprecna.starost.umrlega";70,6
"208";"M";"KK";"2013";"umrli.na.1000.prebivalcev";11,1
"209";"M";"KK";"2013";"umrli.dojencki.na.1000.zivorojenih";2,8
"210";"M";"KK";"2013";"povprecna.starost.umrlega";70,7
"211";"M";"KK";"2014";"umrli.na.1000.prebivalcev";10,5
"212";"M";"KK";"2014";"umrli.dojencki.na.1000.zivorojenih";0
"213";"M";"KK";"2014";"povprecna.starost.umrlega";72,9
"214";"M";"KK";"2015";"umrli.na.1000.prebivalcev";10,2
"215";"M";"KK";"2015";"umrli.dojencki.na.1000.zivorojenih";2,5
"216";"M";"KK";"2015";"povprecna.starost.umrlega";73,4
"217";"M";"KK";"2016";"umrli.na.1000.prebivalcev";11,8
"218";"M";"KK";"2016";"umrli.dojencki.na.1000.zivorojenih";2,6
"219";"M";"KK";"2016";"povprecna.starost.umrlega";72,8
"220";"M";"KK";"2017";"umrli.na.1000.prebivalcev";10,7
"221";"M";"KK";"2017";"umrli.dojencki.na.1000.zivorojenih";0
"222";"M";"KK";"2017";"povprecna.starost.umrlega";73,4
"223";"M";"KK";"2018";"umrli.na.1000.prebivalcev";10,9
"224";"M";"KK";"2018";"umrli.dojencki.na.1000.zivorojenih";5,3
"225";"M";"KK";"2018";"povprecna.starost.umrlega";73,7
"226";"M";"KK";"2019";"umrli.na.1000.prebivalcev";10,9
"227";"M";"KK";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"228";"M";"KK";"2019";"povprecna.starost.umrlega";72,1
"229";"M";"KK";"2020";"umrli.na.1000.prebivalcev";11,5
"230";"M";"KK";"2020";"umrli.dojencki.na.1000.zivorojenih";5,8
"231";"M";"KK";"2020";"povprecna.starost.umrlega";73,7
"232";"M";"NM";"2010";"umrli.na.1000.prebivalcev";8,9
"233";"M";"NM";"2010";"umrli.dojencki.na.1000.zivorojenih";1,2
"234";"M";"NM";"2010";"povprecna.starost.umrlega";69,4
"235";"M";"NM";"2011";"umrli.na.1000.prebivalcev";9,2
"236";"M";"NM";"2011";"umrli.dojencki.na.1000.zivorojenih";7
"237";"M";"NM";"2011";"povprecna.starost.umrlega";70,7
"238";"M";"NM";"2012";"umrli.na.1000.prebivalcev";9,9
"239";"M";"NM";"2012";"umrli.dojencki.na.1000.zivorojenih";6,1
"240";"M";"NM";"2012";"povprecna.starost.umrlega";71,3
"241";"M";"NM";"2013";"umrli.na.1000.prebivalcev";9,4
"242";"M";"NM";"2013";"umrli.dojencki.na.1000.zivorojenih";2,4
"243";"M";"NM";"2013";"povprecna.starost.umrlega";71,1
"244";"M";"NM";"2014";"umrli.na.1000.prebivalcev";9,6
"245";"M";"NM";"2014";"umrli.dojencki.na.1000.zivorojenih";4,6
"246";"M";"NM";"2014";"povprecna.starost.umrlega";71,8
"247";"M";"NM";"2015";"umrli.na.1000.prebivalcev";9,6
"248";"M";"NM";"2015";"umrli.dojencki.na.1000.zivorojenih";0
"249";"M";"NM";"2015";"povprecna.starost.umrlega";72
"250";"M";"NM";"2016";"umrli.na.1000.prebivalcev";9,2
"251";"M";"NM";"2016";"umrli.dojencki.na.1000.zivorojenih";0
"252";"M";"NM";"2016";"povprecna.starost.umrlega";72,8
"253";"M";"NM";"2017";"umrli.na.1000.prebivalcev";10,1
"254";"M";"NM";"2017";"umrli.dojencki.na.1000.zivorojenih";3,9
"255";"M";"NM";"2017";"povprecna.starost.umrlega";73
"256";"M";"NM";"2018";"umrli.na.1000.prebivalcev";10,3
"257";"M";"NM";"2018";"umrli.dojencki.na.1000.zivorojenih";0
"258";"M";"NM";"2018";"povprecna.starost.umrlega";73,5
"259";"M";"NM";"2019";"umrli.na.1000.prebivalcev";9,6
"260";"M";"NM";"2019";"umrli.dojencki.na.1000.zivorojenih";2,5
"261";"M";"NM";"2019";"povprecna.starost.umrlega";73,8
"262";"M";"NM";"2020";"umrli.na.1000.prebivalcev";11,3
"263";"M";"NM";"2020";"umrli.dojencki.na.1000.zivorojenih";3,8
"264";"M";"NM";"2020";"povprecna.starost.umrlega";75
"265";"M";"LJ";"2010";"umrli.na.1000.prebivalcev";7,7
"266";"M";"LJ";"2010";"umrli.dojencki.na.1000.zivorojenih";1,5
"267";"M";"LJ";"2010";"povprecna.starost.umrlega";71,6
"268";"M";"LJ";"2011";"umrli.na.1000.prebivalcev";7,7
"269";"M";"LJ";"2011";"umrli.dojencki.na.1000.zivorojenih";2,8
