"";"leto";"spol";"starostne.skupine";"izobrazba";"stevilo.umrlih.izobrazba";"stan";"stevilo.umrlih.stan"
"128";2010;"M";"45-49";"brez";"21";"porocen/a";105
"129";2010;"M";"45-49";"OS";"82";"razvezan/a";41
"130";2010;"M";"45-49";"OS";"82";"vdovec/vdova";1
"131";2010;"M";"45-49";"OS";"82";"samski/a";129
"132";2010;"M";"45-49";"OS";"82";"porocen/a";105
"133";2010;"M";"45-49";"SS";"156";"razvezan/a";41
"134";2010;"M";"45-49";"SS";"156";"vdovec/vdova";1
"135";2010;"M";"45-49";"SS";"156";"samski/a";129
"136";2010;"M";"45-49";"SS";"156";"porocen/a";105
"137";2010;"M";"45-49";"VS";"16";"razvezan/a";41
"138";2010;"M";"45-49";"VS";"16";"vdovec/vdova";1
"139";2010;"M";"45-49";"VS";"16";"samski/a";129
"140";2010;"M";"45-49";"VS";"16";"porocen/a";105
"141";2010;"M";"45-49";"neznano";"1";"razvezan/a";41
"142";2010;"M";"45-49";"neznano";"1";"vdovec/vdova";1
"143";2010;"M";"45-49";"neznano";"1";"samski/a";129
"144";2010;"M";"45-49";"neznano";"1";"porocen/a";105
"145";2010;"M";"50-54";"brez";"71";"vdovec/vdova";6
"146";2010;"M";"50-54";"brez";"71";"razvezan/a";77
"147";2010;"M";"50-54";"brez";"71";"porocen/a";232
"148";2010;"M";"50-54";"brez";"71";"samski/a";161
"149";2010;"M";"50-54";"OS";"107";"vdovec/vdova";6
"150";2010;"M";"50-54";"OS";"107";"razvezan/a";77
"151";2010;"M";"50-54";"OS";"107";"porocen/a";232
"152";2010;"M";"50-54";"OS";"107";"samski/a";161
"153";2010;"M";"50-54";"SS";"261";"vdovec/vdova";6
"154";2010;"M";"50-54";"SS";"261";"razvezan/a";77
"155";2010;"M";"50-54";"SS";"261";"porocen/a";232
"156";2010;"M";"50-54";"SS";"261";"samski/a";161
"157";2010;"M";"50-54";"VS";"37";"vdovec/vdova";6
"158";2010;"M";"50-54";"VS";"37";"razvezan/a";77
"159";2010;"M";"50-54";"VS";"37";"porocen/a";232
"160";2010;"M";"50-54";"VS";"37";"samski/a";161
"161";2010;"M";"50-54";"neznano";"0";"vdovec/vdova";6
"162";2010;"M";"50-54";"neznano";"0";"razvezan/a";77
"163";2010;"M";"50-54";"neznano";"0";"porocen/a";232
"164";2010;"M";"50-54";"neznano";"0";"samski/a";161
"165";2010;"M";"55-59";"brez";"156";"samski/a";205
"166";2010;"M";"55-59";"brez";"156";"vdovec/vdova";19
"167";2010;"M";"55-59";"brez";"156";"razvezan/a";134
"168";2010;"M";"55-59";"brez";"156";"porocen/a";422
"169";2010;"M";"55-59";"OS";"186";"samski/a";205
"170";2010;"M";"55-59";"OS";"186";"vdovec/vdova";19
"171";2010;"M";"55-59";"OS";"186";"razvezan/a";134
"172";2010;"M";"55-59";"OS";"186";"porocen/a";422
"173";2010;"M";"55-59";"SS";"377";"samski/a";205
"174";2010;"M";"55-59";"SS";"377";"vdovec/vdova";19
"175";2010;"M";"55-59";"SS";"377";"razvezan/a";134
"176";2010;"M";"55-59";"SS";"377";"porocen/a";422
"177";2010;"M";"55-59";"VS";"53";"samski/a";205
"178";2010;"M";"55-59";"VS";"53";"vdovec/vdova";19
"179";2010;"M";"55-59";"VS";"53";"razvezan/a";134
"180";2010;"M";"55-59";"VS";"53";"porocen/a";422
"181";2010;"M";"55-59";"neznano";"8";"samski/a";205
"182";2010;"M";"55-59";"neznano";"8";"vdovec/vdova";19
"183";2010;"M";"55-59";"neznano";"8";"razvezan/a";134
"184";2010;"M";"55-59";"neznano";"8";"porocen/a";422
"185";2010;"M";"60-64";"brez";"161";"samski/a";163
"186";2010;"M";"60-64";"brez";"161";"porocen/a";493
"187";2010;"M";"60-64";"brez";"161";"vdovec/vdova";45
"188";2010;"M";"60-64";"brez";"161";"razvezan/a";127
"189";2010;"M";"60-64";"OS";"154";"samski/a";163
"190";2010;"M";"60-64";"OS";"154";"porocen/a";493
"191";2010;"M";"60-64";"OS";"154";"vdovec/vdova";45
"192";2010;"M";"60-64";"OS";"154";"razvezan/a";127
"193";2010;"M";"60-64";"SS";"443";"samski/a";163
"194";2010;"M";"60-64";"SS";"443";"porocen/a";493
"195";2010;"M";"60-64";"SS";"443";"vdovec/vdova";45
"196";2010;"M";"60-64";"SS";"443";"razvezan/a";127
"197";2010;"M";"60-64";"VS";"56";"samski/a";163
"198";2010;"M";"60-64";"VS";"56";"porocen/a";493
"199";2010;"M";"60-64";"VS";"56";"vdovec/vdova";45
"200";2010;"M";"60-64";"VS";"56";"razvezan/a";127
"201";2010;"M";"60-64";"neznano";"14";"samski/a";163
"202";2010;"M";"60-64";"neznano";"14";"porocen/a";493
"203";2010;"M";"60-64";"neznano";"14";"vdovec/vdova";45
"204";2010;"M";"60-64";"neznano";"14";"razvezan/a";127
"205";2010;"M";"65-69";"brez";"214";"razvezan/a";99
"206";2010;"M";"65-69";"brez";"214";"samski/a";112
"207";2010;"M";"65-69";"brez";"214";"vdovec/vdova";71
"208";2010;"M";"65-69";"brez";"214";"porocen/a";611
"209";2010;"M";"65-69";"OS";"138";"razvezan/a";99
"210";2010;"M";"65-69";"OS";"138";"samski/a";112
"211";2010;"M";"65-69";"OS";"138";"vdovec/vdova";71
"212";2010;"M";"65-69";"OS";"138";"porocen/a";611
"213";2010;"M";"65-69";"SS";"460";"razvezan/a";99
"214";2010;"M";"65-69";"SS";"460";"samski/a";112
"215";2010;"M";"65-69";"SS";"460";"vdovec/vdova";71
"216";2010;"M";"65-69";"SS";"460";"porocen/a";611
"217";2010;"M";"65-69";"VS";"71";"razvezan/a";99
"218";2010;"M";"65-69";"VS";"71";"samski/a";112
"219";2010;"M";"65-69";"VS";"71";"vdovec/vdova";71
"220";2010;"M";"65-69";"VS";"71";"porocen/a";611
"221";2010;"M";"65-69";"neznano";"10";"razvezan/a";99
"222";2010;"M";"65-69";"neznano";"10";"samski/a";112
"223";2010;"M";"65-69";"neznano";"10";"vdovec/vdova";71
"224";2010;"M";"65-69";"neznano";"10";"porocen/a";611
"225";2010;"M";"70-74";"brez";"364";"porocen/a";866
"226";2010;"M";"70-74";"brez";"364";"razvezan/a";103
"227";2010;"M";"70-74";"brez";"364";"vdovec/vdova";181
"228";2010;"M";"70-74";"brez";"364";"samski/a";127
"229";2010;"M";"70-74";"OS";"191";"porocen/a";866
"230";2010;"M";"70-74";"OS";"191";"razvezan/a";103
"231";2010;"M";"70-74";"OS";"191";"vdovec/vdova";181
"232";2010;"M";"70-74";"OS";"191";"samski/a";127
"233";2010;"M";"70-74";"SS";"603";"porocen/a";866
"234";2010;"M";"70-74";"SS";"603";"razvezan/a";103
"235";2010;"M";"70-74";"SS";"603";"vdovec/vdova";181
"236";2010;"M";"70-74";"SS";"603";"samski/a";127
"237";2010;"M";"70-74";"VS";"101";"porocen/a";866
"238";2010;"M";"70-74";"VS";"101";"razvezan/a";103
"239";2010;"M";"70-74";"VS";"101";"vdovec/vdova";181
"240";2010;"M";"70-74";"VS";"101";"samski/a";127
"241";2010;"M";"70-74";"neznano";"18";"porocen/a";866
"242";2010;"M";"70-74";"neznano";"18";"razvezan/a";103
"243";2010;"M";"70-74";"neznano";"18";"vdovec/vdova";181
"244";2010;"M";"70-74";"neznano";"18";"samski/a";127
"245";2010;"M";"75-79";"brez";"442";"vdovec/vdova";304
"246";2010;"M";"75-79";"brez";"442";"porocen/a";1011
"247";2010;"M";"75-79";"brez";"442";"razvezan/a";77
"248";2010;"M";"75-79";"brez";"442";"samski/a";106
"249";2010;"M";"75-79";"OS";"251";"vdovec/vdova";304
"250";2010;"M";"75-79";"OS";"251";"porocen/a";1011
"251";2010;"M";"75-79";"OS";"251";"razvezan/a";77
"252";2010;"M";"75-79";"OS";"251";"samski/a";106
"253";2010;"M";"75-79";"SS";"663";"vdovec/vdova";304
"254";2010;"M";"75-79";"SS";"663";"porocen/a";1011
"255";2010;"M";"75-79";"SS";"663";"razvezan/a";77
"256";2010;"M";"75-79";"SS";"663";"samski/a";106
"257";2010;"M";"75-79";"VS";"130";"vdovec/vdova";304
"258";2010;"M";"75-79";"VS";"130";"porocen/a";1011
"259";2010;"M";"75-79";"VS";"130";"razvezan/a";77
"260";2010;"M";"75-79";"VS";"130";"samski/a";106
"261";2010;"M";"75-79";"neznano";"12";"vdovec/vdova";304
"262";2010;"M";"75-79";"neznano";"12";"porocen/a";1011
"263";2010;"M";"75-79";"neznano";"12";"razvezan/a";77
"264";2010;"M";"75-79";"neznano";"12";"samski/a";106
"265";2010;"M";"80-84";"brez";"290";"samski/a";63
"266";2010;"M";"80-84";"brez";"290";"razvezan/a";62
"267";2010;"M";"80-84";"brez";"290";"vdovec/vdova";436
"268";2010;"M";"80-84";"brez";"290";"porocen/a";897
"269";2010;"M";"80-84";"OS";"329";"samski/a";63
"270";2010;"M";"80-84";"OS";"329";"razvezan/a";62
"271";2010;"M";"80-84";"OS";"329";"vdovec/vdova";436
"272";2010;"M";"80-84";"OS";"329";"porocen/a";897
"273";2010;"M";"80-84";"SS";"655";"samski/a";63
"274";2010;"M";"80-84";"SS";"655";"razvezan/a";62
"275";2010;"M";"80-84";"SS";"655";"vdovec/vdova";436
"276";2010;"M";"80-84";"SS";"655";"porocen/a";897
"277";2010;"M";"80-84";"VS";"173";"samski/a";63
"278";2010;"M";"80-84";"VS";"173";"razvezan/a";62
"279";2010;"M";"80-84";"VS";"173";"vdovec/vdova";436
"280";2010;"M";"80-84";"VS";"173";"porocen/a";897
"281";2010;"M";"80-84";"neznano";"11";"samski/a";63
"282";2010;"M";"80-84";"neznano";"11";"razvezan/a";62
"283";2010;"M";"80-84";"neznano";"11";"vdovec/vdova";436
"284";2010;"M";"80-84";"neznano";"11";"porocen/a";897
"285";2010;"M";"85+";"brez";"195";"porocen/a";658
"286";2010;"M";"85+";"brez";"195";"razvezan/a";31
"287";2010;"M";"85+";"brez";"195";"vdovec/vdova";568
"288";2010;"M";"85+";"brez";"195";"samski/a";54
"289";2010;"M";"85+";"OS";"321";"porocen/a";658
"290";2010;"M";"85+";"OS";"321";"razvezan/a";31
"291";2010;"M";"85+";"OS";"321";"vdovec/vdova";568
"292";2010;"M";"85+";"OS";"321";"samski/a";54
"293";2010;"M";"85+";"SS";"560";"porocen/a";658
"294";2010;"M";"85+";"SS";"560";"razvezan/a";31
"295";2010;"M";"85+";"SS";"560";"vdovec/vdova";568
"296";2010;"M";"85+";"SS";"560";"samski/a";54
"297";2010;"M";"85+";"VS";"221";"porocen/a";658
"298";2010;"M";"85+";"VS";"221";"razvezan/a";31
"299";2010;"M";"85+";"VS";"221";"vdovec/vdova";568
"300";2010;"M";"85+";"VS";"221";"samski/a";54
"301";2010;"M";"85+";"neznano";"14";"porocen/a";658
"302";2010;"M";"85+";"neznano";"14";"razvezan/a";31
"303";2010;"M";"85+";"neznano";"14";"vdovec/vdova";568
"304";2010;"M";"85+";"neznano";"14";"samski/a";54
"305";2010;"Z";"0-15";"ni.podatka";"ni.podatka";"samski/a";54
"306";2010;"Z";"0-15";"ni.podatka";"ni.podatka";"porocen/a";0
"307";2010;"Z";"0-15";"ni.podatka";"ni.podatka";"vdovec/vdova";0
"308";2010;"Z";"0-15";"ni.podatka";"ni.podatka";"razvezan/a";0
"309";2010;"Z";"15-19";"brez";"0";"porocen/a";0
"310";2010;"Z";"15-19";"brez";"0";"samski/a";8
"311";2010;"Z";"15-19";"brez";"0";"razvezan/a";0
"312";2010;"Z";"15-19";"brez";"0";"vdovec/vdova";0
"313";2010;"Z";"15-19";"OS";"6";"porocen/a";0
"314";2010;"Z";"15-19";"OS";"6";"samski/a";8
"315";2010;"Z";"15-19";"OS";"6";"razvezan/a";0
"316";2010;"Z";"15-19";"OS";"6";"vdovec/vdova";0
"317";2010;"Z";"15-19";"SS";"0";"porocen/a";0
"318";2010;"Z";"15-19";"SS";"0";"samski/a";8
"319";2010;"Z";"15-19";"SS";"0";"razvezan/a";0
"320";2010;"Z";"15-19";"SS";"0";"vdovec/vdova";0
"321";2010;"Z";"15-19";"VS";"0";"porocen/a";0
"322";2010;"Z";"15-19";"VS";"0";"samski/a";8
"323";2010;"Z";"15-19";"VS";"0";"razvezan/a";0
"324";2010;"Z";"15-19";"VS";"0";"vdovec/vdova";0
"325";2010;"Z";"15-19";"neznano";"2";"porocen/a";0
"326";2010;"Z";"15-19";"neznano";"2";"samski/a";8
"327";2010;"Z";"15-19";"neznano";"2";"razvezan/a";0
"328";2010;"Z";"15-19";"neznano";"2";"vdovec/vdova";0
"329";2010;"Z";"20-24";"brez";"1";"porocen/a";0
"330";2010;"Z";"20-24";"brez";"1";"vdovec/vdova";0
"331";2010;"Z";"20-24";"brez";"1";"razvezan/a";0
"332";2010;"Z";"20-24";"brez";"1";"samski/a";8
"333";2010;"Z";"20-24";"OS";"7";"porocen/a";0
"334";2010;"Z";"20-24";"OS";"7";"vdovec/vdova";0
"335";2010;"Z";"20-24";"OS";"7";"razvezan/a";0
"336";2010;"Z";"20-24";"OS";"7";"samski/a";8
"337";2010;"Z";"20-24";"SS";"0";"porocen/a";0
"338";2010;"Z";"20-24";"SS";"0";"vdovec/vdova";0
"339";2010;"Z";"20-24";"SS";"0";"razvezan/a";0
"340";2010;"Z";"20-24";"SS";"0";"samski/a";8
"341";2010;"Z";"20-24";"VS";"0";"porocen/a";0
"342";2010;"Z";"20-24";"VS";"0";"vdovec/vdova";0
"343";2010;"Z";"20-24";"VS";"0";"razvezan/a";0
"344";2010;"Z";"20-24";"VS";"0";"samski/a";8
"345";2010;"Z";"20-24";"neznano";"0";"porocen/a";0
"346";2010;"Z";"20-24";"neznano";"0";"vdovec/vdova";0
"347";2010;"Z";"20-24";"neznano";"0";"razvezan/a";0
"348";2010;"Z";"20-24";"neznano";"0";"samski/a";8
"349";2010;"Z";"25-29";"brez";"0";"vdovec/vdova";0
"350";2010;"Z";"25-29";"brez";"0";"samski/a";6
"351";2010;"Z";"25-29";"brez";"0";"razvezan/a";1
"352";2010;"Z";"25-29";"brez";"0";"porocen/a";2
"353";2010;"Z";"25-29";"OS";"2";"vdovec/vdova";0
"354";2010;"Z";"25-29";"OS";"2";"samski/a";6
"355";2010;"Z";"25-29";"OS";"2";"razvezan/a";1
"356";2010;"Z";"25-29";"OS";"2";"porocen/a";2
"357";2010;"Z";"25-29";"SS";"7";"vdovec/vdova";0
"358";2010;"Z";"25-29";"SS";"7";"samski/a";6
"359";2010;"Z";"25-29";"SS";"7";"razvezan/a";1
"360";2010;"Z";"25-29";"SS";"7";"porocen/a";2
"361";2010;"Z";"25-29";"VS";"0";"vdovec/vdova";0
"362";2010;"Z";"25-29";"VS";"0";"samski/a";6
"363";2010;"Z";"25-29";"VS";"0";"razvezan/a";1
"364";2010;"Z";"25-29";"VS";"0";"porocen/a";2
"365";2010;"Z";"25-29";"neznano";"0";"vdovec/vdova";0
"366";2010;"Z";"25-29";"neznano";"0";"samski/a";6
"367";2010;"Z";"25-29";"neznano";"0";"razvezan/a";1
"368";2010;"Z";"25-29";"neznano";"0";"porocen/a";2
"369";2010;"Z";"30-34";"brez";"1";"vdovec/vdova";0
"370";2010;"Z";"30-34";"brez";"1";"razvezan/a";0
"371";2010;"Z";"30-34";"brez";"1";"porocen/a";8
"372";2010;"Z";"30-34";"brez";"1";"samski/a";22
