"";"obcina";"leto";"spol";"stevilo.umrlih"
"266";"Braslovče";"2015";"Z";20
"267";"Braslovče";"2016";"M";17
"268";"Braslovče";"2016";"Z";24
"269";"Braslovče";"2017";"M";20
"270";"Braslovče";"2017";"Z";22
"271";"Braslovče";"2018";"M";23
"272";"Braslovče";"2018";"Z";23
"273";"Braslovče";"2019";"M";22
"274";"Braslovče";"2019";"Z";14
"275";"Braslovče";"2020";"M";32
"276";"Braslovče";"2020";"Z";21
"277";"Brda";"2010";"M";25
"278";"Brda";"2010";"Z";32
"279";"Brda";"2011";"M";24
"280";"Brda";"2011";"Z";32
"281";"Brda";"2012";"M";43
"282";"Brda";"2012";"Z";36
"283";"Brda";"2013";"M";40
"284";"Brda";"2013";"Z";42
"285";"Brda";"2014";"M";32
"286";"Brda";"2014";"Z";36
"287";"Brda";"2015";"M";33
"288";"Brda";"2015";"Z";47
"289";"Brda";"2016";"M";36
"290";"Brda";"2016";"Z";55
"291";"Brda";"2017";"M";33
"292";"Brda";"2017";"Z";55
"293";"Brda";"2018";"M";29
"294";"Brda";"2018";"Z";38
"295";"Brda";"2019";"M";34
"296";"Brda";"2019";"Z";41
"297";"Brda";"2020";"M";33
"298";"Brda";"2020";"Z";57
"299";"Brezovica";"2010";"M";44
"300";"Brezovica";"2010";"Z";25
"301";"Brezovica";"2011";"M";45
"302";"Brezovica";"2011";"Z";35
"303";"Brezovica";"2012";"M";57
"304";"Brezovica";"2012";"Z";58
"305";"Brezovica";"2013";"M";55
"306";"Brezovica";"2013";"Z";62
"307";"Brezovica";"2014";"M";58
"308";"Brezovica";"2014";"Z";76
"309";"Brezovica";"2015";"M";63
"310";"Brezovica";"2015";"Z";62
"311";"Brezovica";"2016";"M";55
"312";"Brezovica";"2016";"Z";62
"313";"Brezovica";"2017";"M";56
"314";"Brezovica";"2017";"Z";75
"315";"Brezovica";"2018";"M";50
"316";"Brezovica";"2018";"Z";62
"317";"Brezovica";"2019";"M";77
"318";"Brezovica";"2019";"Z";65
"319";"Brezovica";"2020";"M";66
"320";"Brezovica";"2020";"Z";69
"321";"Brežice";"2010";"M";144
"322";"Brežice";"2010";"Z";131
"323";"Brežice";"2011";"M";117
"324";"Brežice";"2011";"Z";147
"325";"Brežice";"2012";"M";129
"326";"Brežice";"2012";"Z";129
"327";"Brežice";"2013";"M";137
"328";"Brežice";"2013";"Z";143
"329";"Brežice";"2014";"M";144
"330";"Brežice";"2014";"Z";156
"331";"Brežice";"2015";"M";132
"332";"Brežice";"2015";"Z";143
"333";"Brežice";"2016";"M";141
"334";"Brežice";"2016";"Z";137
"335";"Brežice";"2017";"M";138
"336";"Brežice";"2017";"Z";124
"337";"Brežice";"2018";"M";138
"338";"Brežice";"2018";"Z";135
"339";"Brežice";"2019";"M";123
"340";"Brežice";"2019";"Z";132
"341";"Brežice";"2020";"M";141
"342";"Brežice";"2020";"Z";156
"343";"Cankova";"2010";"M";8
"344";"Cankova";"2010";"Z";8
"345";"Cankova";"2011";"M";11
"346";"Cankova";"2011";"Z";8
"347";"Cankova";"2012";"M";13
"348";"Cankova";"2012";"Z";11
"349";"Cankova";"2013";"M";8
"350";"Cankova";"2013";"Z";11
"351";"Cankova";"2014";"M";12
"352";"Cankova";"2014";"Z";10
"353";"Cankova";"2015";"M";7
"354";"Cankova";"2015";"Z";14
"355";"Cankova";"2016";"M";15
"356";"Cankova";"2016";"Z";9
"357";"Cankova";"2017";"M";10
"358";"Cankova";"2017";"Z";12
"359";"Cankova";"2018";"M";12
"360";"Cankova";"2018";"Z";9
"361";"Cankova";"2019";"M";5
"362";"Cankova";"2019";"Z";9
"363";"Cankova";"2020";"M";6
"364";"Cankova";"2020";"Z";7
"365";"Celje";"2010";"M";212
"366";"Celje";"2010";"Z";201
"367";"Celje";"2011";"M";183
"368";"Celje";"2011";"Z";197
"369";"Celje";"2012";"M";210
"370";"Celje";"2012";"Z";235
"371";"Celje";"2013";"M";191
"372";"Celje";"2013";"Z";188
"373";"Celje";"2014";"M";199
"374";"Celje";"2014";"Z";233
"375";"Celje";"2015";"M";214
"376";"Celje";"2015";"Z";211
"377";"Celje";"2016";"M";222
"378";"Celje";"2016";"Z";196
"379";"Celje";"2017";"M";228
"380";"Celje";"2017";"Z";229
"381";"Celje";"2018";"M";246
"382";"Celje";"2018";"Z";212
"383";"Celje";"2019";"M";243
"384";"Celje";"2019";"Z";235
"385";"Celje";"2020";"M";292
"386";"Celje";"2020";"Z";250
"387";"Cerklje na Gorenjskem";"2010";"M";17
"388";"Cerklje na Gorenjskem";"2010";"Z";25
"389";"Cerklje na Gorenjskem";"2011";"M";16
"390";"Cerklje na Gorenjskem";"2011";"Z";26
"391";"Cerklje na Gorenjskem";"2012";"M";31
"392";"Cerklje na Gorenjskem";"2012";"Z";26
"393";"Cerklje na Gorenjskem";"2013";"M";20
"394";"Cerklje na Gorenjskem";"2013";"Z";25
"395";"Cerklje na Gorenjskem";"2014";"M";24
"396";"Cerklje na Gorenjskem";"2014";"Z";31
"397";"Cerklje na Gorenjskem";"2015";"M";29
"398";"Cerklje na Gorenjskem";"2015";"Z";27
"399";"Cerklje na Gorenjskem";"2016";"M";31
"400";"Cerklje na Gorenjskem";"2016";"Z";41
"401";"Cerklje na Gorenjskem";"2017";"M";39
"402";"Cerklje na Gorenjskem";"2017";"Z";40
"403";"Cerklje na Gorenjskem";"2018";"M";41
"404";"Cerklje na Gorenjskem";"2018";"Z";46
"405";"Cerklje na Gorenjskem";"2019";"M";42
"406";"Cerklje na Gorenjskem";"2019";"Z";43
"407";"Cerklje na Gorenjskem";"2020";"M";53
"408";"Cerklje na Gorenjskem";"2020";"Z";51
"409";"Cerknica";"2010";"M";50
"410";"Cerknica";"2010";"Z";68
"411";"Cerknica";"2011";"M";47
"412";"Cerknica";"2011";"Z";55
"413";"Cerknica";"2012";"M";59
"414";"Cerknica";"2012";"Z";62
"415";"Cerknica";"2013";"M";60
"416";"Cerknica";"2013";"Z";61
"417";"Cerknica";"2014";"M";66
"418";"Cerknica";"2014";"Z";81
"419";"Cerknica";"2015";"M";59
"420";"Cerknica";"2015";"Z";63
"421";"Cerknica";"2016";"M";66
"422";"Cerknica";"2016";"Z";72
"423";"Cerknica";"2017";"M";54
"424";"Cerknica";"2017";"Z";62
"425";"Cerknica";"2018";"M";63
"426";"Cerknica";"2018";"Z";71
"427";"Cerknica";"2019";"M";55
"428";"Cerknica";"2019";"Z";89
"429";"Cerknica";"2020";"M";80
"430";"Cerknica";"2020";"Z";71
"431";"Cerkno";"2010";"M";20
"432";"Cerkno";"2010";"Z";16
"433";"Cerkno";"2011";"M";20
"434";"Cerkno";"2011";"Z";19
"435";"Cerkno";"2012";"M";17
"436";"Cerkno";"2012";"Z";20
