"";"drzava";"leto";"umrli";"vrednost.bdp"
"258";"ITA";2017;"5.6";"41951.466331"
"259";"ITA";2018;"ni.podatka";"43511.514215"
"260";"ITA";2019;"ni.podatka";"44950.911658"
"261";"JPN";2010;"21.2";"35356.426696"
"262";"JPN";2011;"20.9";"36215.006272"
"263";"JPN";2012;"19.1";"37628.675989"
"264";"JPN";2013;"18.7";"39436.682585"
"265";"JPN";2014;"17.6";"39559.763471"
"266";"JPN";2015;"16.6";"40908.781547"
"267";"JPN";2016;"15.2";"40642.704531"
"268";"JPN";2017;"14.9";"41531.221619"
"269";"JPN";2018;"14.7";"42415.262579"
"270";"JPN";2019;"ni.podatka";"42929.661311"
"271";"KOR";2010;"33.5";"31748.35357"
"272";"KOR";2011;"33.3";"32546.517725"
"273";"KOR";2012;"29.1";"33557.030447"
"274";"KOR";2013;"28.7";"34244.239492"
"275";"KOR";2014;"26.7";"35324.260296"
"276";"KOR";2015;"25.8";"37902.361018"
"277";"KOR";2016;"24.6";"39575.302078"
"278";"KOR";2017;"23";"40957.347064"
"279";"KOR";2018;"24.7";"42486.739807"
"280";"KOR";2019;"24.6";"42849.560289"
"281";"LTU";2010;"31.6";"20112.103125"
"282";"LTU";2011;"32.2";"22884.804355"
"283";"LTU";2012;"29.5";"24703.697943"
"284";"LTU";2013;"34.8";"26721.601926"
"285";"LTU";2014;"29.8";"28184.499091"
"286";"LTU";2015;"29";"28834.457574"
"287";"LTU";2016;"26.7";"30925.151813"
"288";"LTU";2017;"24.4";"33761.906595"
"289";"LTU";2018;"22.2";"36365.37958"
"290";"LTU";2019;"21.6";"38805.780253"
"291";"LUX";2010;"10.3";"90326.51628"
"292";"LUX";2011;"10.4";"94278.922851"
"293";"LUX";2012;"9.4";"96535.745828"
"294";"LUX";2013;"7.3";"100561.366405"
"295";"LUX";2014;"11.8";"104917.945675"
"296";"LUX";2015;"11.1";"107898.304236"
"297";"LUX";2016;"7.2";"112955.470175"
"298";"LUX";2017;"8.5";"114862.528755"
"299";"LUX";2018;"6.6";"117080.390255"
"300";"LUX";2019;"ni.podatka";"119127.51185"
"301";"LVA";2010;"19.7";"17722.678936"
"302";"LVA";2011;"19.9";"19256.68991"
"303";"LVA";2012;"20.5";"21297.472621"
"304";"LVA";2013;"17.8";"22637.197448"
"305";"LVA";2014;"18.1";"23810.218371"
"306";"LVA";2015;"18.1";"24975.479748"
"307";"LVA";2016;"17.3";"26724.459825"
"308";"LVA";2017;"16.9";"28689.57466"
"309";"LVA";2018;"14.3";"30825.8716"
"310";"LVA";2019;"ni.podatka";"32251.472213"
"311";"MEX";2010;"4.9";"15257.673655"
"312";"MEX";2011;"5.1";"16546.641414"
"313";"MEX";2012;"4.9";"17220.06914"
"314";"MEX";2013;"5.1";"17461.798268"
"315";"MEX";2014;"5.5";"18178.397421"
"316";"MEX";2015;"5.5";"18454.801482"
"317";"MEX";2016;"5.4";"19516.145022"
"318";"MEX";2017;"5.5";"19947.197691"
"319";"MEX";2018;"ni.podatka";"20519.57785"
"320";"MEX";2019;"ni.podatka";"20748.032715"
"321";"MLT";2010;"ni.podatka";"28747.240738"
"322";"MLT";2011;"ni.podatka";"28972.955253"
"323";"MLT";2012;"ni.podatka";"30241.405423"
"324";"MLT";2013;"ni.podatka";"32287.913935"
"325";"MLT";2014;"ni.podatka";"34318.634806"
"326";"MLT";2015;"ni.podatka";"37430.609208"
"327";"MLT";2016;"ni.podatka";"39774.055146"
"328";"MLT";2017;"ni.podatka";"43530.402203"
"329";"MLT";2018;"ni.podatka";"45811.440625"
"330";"MLT";2019;"ni.podatka";"48269.429923"
"331";"NLD";2010;"9.2";"45079.367407"
"332";"NLD";2011;"9.5";"46599.227659"
"333";"NLD";2012;"10";"47271.968226"
"334";"NLD";2013;"10.5";"49242.786711"
"335";"NLD";2014;"10.4";"49233.230349"
"336";"NLD";2015;"10.5";"50288.352815"
"337";"NLD";2016;"10.5";"52289.404292"
"338";"NLD";2017;"10.6";"55089.58143"
"339";"NLD";2018;"10";"57899.824961"
"340";"NLD";2019;"ni.podatka";"59674.76803"
"341";"NOR";2010;"11.2";"57966.866732"
"342";"NOR";2011;"12.1";"62077.845797"
