"";"spol";"starostne.skupine";"leto";"vzrok";"stevilo.umrlih"
"183";"M";"30-34";2011;"druge.nezgode";18
"184";"M";"30-34";2011;"samomori";15
"185";"M";"30-34";2012;"transportne.nezgode";13
"186";"M";"30-34";2012;"padci";2
"187";"M";"30-34";2012;"druge.nezgode";7
"188";"M";"30-34";2012;"samomori";11
"189";"M";"30-34";2013;"transportne.nezgode";10
"190";"M";"30-34";2013;"padci";2
"191";"M";"30-34";2013;"druge.nezgode";10
"192";"M";"30-34";2013;"samomori";16
"193";"M";"30-34";2014;"transportne.nezgode";10
"194";"M";"30-34";2014;"padci";2
"195";"M";"30-34";2014;"druge.nezgode";11
"196";"M";"30-34";2014;"samomori";18
"197";"M";"30-34";2015;"transportne.nezgode";10
"198";"M";"30-34";2015;"padci";3
"199";"M";"30-34";2015;"druge.nezgode";11
"200";"M";"30-34";2015;"samomori";17
"201";"M";"30-34";2016;"transportne.nezgode";7
"202";"M";"30-34";2016;"padci";2
"203";"M";"30-34";2016;"druge.nezgode";14
"204";"M";"30-34";2016;"samomori";13
"205";"M";"30-34";2017;"transportne.nezgode";4
"206";"M";"30-34";2017;"padci";1
"207";"M";"30-34";2017;"druge.nezgode";9
"208";"M";"30-34";2017;"samomori";17
"209";"M";"30-34";2018;"transportne.nezgode";9
"210";"M";"30-34";2018;"padci";2
"211";"M";"30-34";2018;"druge.nezgode";7
"212";"M";"30-34";2018;"samomori";15
"213";"M";"30-34";2019;"transportne.nezgode";6
"214";"M";"30-34";2019;"padci";1
"215";"M";"30-34";2019;"druge.nezgode";8
"216";"M";"30-34";2019;"samomori";14
"217";"M";"30-34";2020;"transportne.nezgode";10
"218";"M";"30-34";2020;"padci";2
"219";"M";"30-34";2020;"druge.nezgode";5
"220";"M";"30-34";2020;"samomori";17
"221";"M";"35-39";2010;"transportne.nezgode";8
"222";"M";"35-39";2010;"padci";8
"223";"M";"35-39";2010;"druge.nezgode";11
"224";"M";"35-39";2010;"samomori";20
"225";"M";"35-39";2011;"transportne.nezgode";9
"226";"M";"35-39";2011;"padci";1
"227";"M";"35-39";2011;"druge.nezgode";12
"228";"M";"35-39";2011;"samomori";16
"229";"M";"35-39";2012;"transportne.nezgode";9
"230";"M";"35-39";2012;"padci";2
"231";"M";"35-39";2012;"druge.nezgode";14
"232";"M";"35-39";2012;"samomori";18
"233";"M";"35-39";2013;"transportne.nezgode";8
"234";"M";"35-39";2013;"padci";4
"235";"M";"35-39";2013;"druge.nezgode";13
"236";"M";"35-39";2013;"samomori";19
"237";"M";"35-39";2014;"transportne.nezgode";8
