"";"spol";"starostne.skupine";"leto";"vzrok";"stevilo.umrlih"
"1177";"Z";"65-69";2018;"transportne.nezgode";0
"1178";"Z";"65-69";2018;"padci";3
"1179";"Z";"65-69";2018;"druge.nezgode";9
"1180";"Z";"65-69";2018;"samomori";9
"1181";"Z";"65-69";2019;"transportne.nezgode";2
"1182";"Z";"65-69";2019;"padci";4
"1183";"Z";"65-69";2019;"druge.nezgode";8
"1184";"Z";"65-69";2019;"samomori";10
"1185";"Z";"65-69";2020;"transportne.nezgode";3
"1186";"Z";"65-69";2020;"padci";3
"1187";"Z";"65-69";2020;"druge.nezgode";9
"1188";"Z";"65-69";2020;"samomori";10
"1189";"Z";"70-74";2010;"transportne.nezgode";2
"1190";"Z";"70-74";2010;"padci";18
"1191";"Z";"70-74";2010;"druge.nezgode";14
"1192";"Z";"70-74";2010;"samomori";9
"1193";"Z";"70-74";2011;"transportne.nezgode";1
"1194";"Z";"70-74";2011;"padci";12
"1195";"Z";"70-74";2011;"druge.nezgode";23
"1196";"Z";"70-74";2011;"samomori";7
"1197";"Z";"70-74";2012;"transportne.nezgode";3
"1198";"Z";"70-74";2012;"padci";18
"1199";"Z";"70-74";2012;"druge.nezgode";18
"1200";"Z";"70-74";2012;"samomori";6
"1201";"Z";"70-74";2013;"transportne.nezgode";5
"1202";"Z";"70-74";2013;"padci";11
"1203";"Z";"70-74";2013;"druge.nezgode";9
"1204";"Z";"70-74";2013;"samomori";10
"1205";"Z";"70-74";2014;"transportne.nezgode";1
"1206";"Z";"70-74";2014;"padci";4
"1207";"Z";"70-74";2014;"druge.nezgode";11
"1208";"Z";"70-74";2014;"samomori";10
"1209";"Z";"70-74";2015;"transportne.nezgode";7
"1210";"Z";"70-74";2015;"padci";14
"1211";"Z";"70-74";2015;"druge.nezgode";15
"1212";"Z";"70-74";2015;"samomori";9
"1213";"Z";"70-74";2016;"transportne.nezgode";1
"1214";"Z";"70-74";2016;"padci";14
"1215";"Z";"70-74";2016;"druge.nezgode";12
"1216";"Z";"70-74";2016;"samomori";8
"1217";"Z";"70-74";2017;"transportne.nezgode";2
"1218";"Z";"70-74";2017;"padci";18
"1219";"Z";"70-74";2017;"druge.nezgode";15
"1220";"Z";"70-74";2017;"samomori";5
"1221";"Z";"70-74";2018;"transportne.nezgode";3
"1222";"Z";"70-74";2018;"padci";12
"1223";"Z";"70-74";2018;"druge.nezgode";8
"1224";"Z";"70-74";2018;"samomori";4
"1225";"Z";"70-74";2019;"transportne.nezgode";2
"1226";"Z";"70-74";2019;"padci";15
"1227";"Z";"70-74";2019;"druge.nezgode";10
"1228";"Z";"70-74";2019;"samomori";10
"1229";"Z";"70-74";2020;"transportne.nezgode";3
"1230";"Z";"70-74";2020;"padci";16
"1231";"Z";"70-74";2020;"druge.nezgode";16
"1232";"Z";"70-74";2020;"samomori";7
"1233";"Z";"75-79";2010;"transportne.nezgode";3
"1234";"Z";"75-79";2010;"padci";25
"1235";"Z";"75-79";2010;"druge.nezgode";25
"1236";"Z";"75-79";2010;"samomori";4
"1237";"Z";"75-79";2011;"transportne.nezgode";0
"1238";"Z";"75-79";2011;"padci";23
"1239";"Z";"75-79";2011;"druge.nezgode";20
"1240";"Z";"75-79";2011;"samomori";9
"1241";"Z";"75-79";2012;"transportne.nezgode";7
"1242";"Z";"75-79";2012;"padci";30
"1243";"Z";"75-79";2012;"druge.nezgode";28
"1244";"Z";"75-79";2012;"samomori";6
"1245";"Z";"75-79";2013;"transportne.nezgode";1
"1246";"Z";"75-79";2013;"padci";20
"1247";"Z";"75-79";2013;"druge.nezgode";17
"1248";"Z";"75-79";2013;"samomori";10
"1249";"Z";"75-79";2014;"transportne.nezgode";2
"1250";"Z";"75-79";2014;"padci";30
"1251";"Z";"75-79";2014;"druge.nezgode";14
"1252";"Z";"75-79";2014;"samomori";6
"1253";"Z";"75-79";2015;"transportne.nezgode";4
"1254";"Z";"75-79";2015;"padci";26
"1255";"Z";"75-79";2015;"druge.nezgode";18
"1256";"Z";"75-79";2015;"samomori";9
"1257";"Z";"75-79";2016;"transportne.nezgode";2
"1258";"Z";"75-79";2016;"padci";24
"1259";"Z";"75-79";2016;"druge.nezgode";18
"1260";"Z";"75-79";2016;"samomori";10
"1261";"Z";"75-79";2017;"transportne.nezgode";1
"1262";"Z";"75-79";2017;"padci";36
"1263";"Z";"75-79";2017;"druge.nezgode";20
"1264";"Z";"75-79";2017;"samomori";9
"1265";"Z";"75-79";2018;"transportne.nezgode";1
"1266";"Z";"75-79";2018;"padci";34
"1267";"Z";"75-79";2018;"druge.nezgode";19
"1268";"Z";"75-79";2018;"samomori";5
"1269";"Z";"75-79";2019;"transportne.nezgode";2
"1270";"Z";"75-79";2019;"padci";38
"1271";"Z";"75-79";2019;"druge.nezgode";12
"1272";"Z";"75-79";2019;"samomori";6
"1273";"Z";"75-79";2020;"transportne.nezgode";1
"1274";"Z";"75-79";2020;"padci";37
"1275";"Z";"75-79";2020;"druge.nezgode";15
"1276";"Z";"75-79";2020;"samomori";6
"1277";"Z";"80+";2010;"transportne.nezgode";4
"1278";"Z";"80+";2010;"padci";209
"1279";"Z";"80+";2010;"druge.nezgode";52
"1280";"Z";"80+";2010;"samomori";8
"1281";"Z";"80+";2011;"transportne.nezgode";0
"1282";"Z";"80+";2011;"padci";250
"1283";"Z";"80+";2011;"druge.nezgode";37
"1284";"Z";"80+";2011;"samomori";11
"1285";"Z";"80+";2012;"transportne.nezgode";4
"1286";"Z";"80+";2012;"padci";245
"1287";"Z";"80+";2012;"druge.nezgode";68
"1288";"Z";"80+";2012;"samomori";6
"1289";"Z";"80+";2013;"transportne.nezgode";3
"1290";"Z";"80+";2013;"padci";248
"1291";"Z";"80+";2013;"druge.nezgode";41
"1292";"Z";"80+";2013;"samomori";10
"1293";"Z";"80+";2014;"transportne.nezgode";3
"1294";"Z";"80+";2014;"padci";226
"1295";"Z";"80+";2014;"druge.nezgode";33
"1296";"Z";"80+";2014;"samomori";9
"1297";"Z";"80+";2015;"transportne.nezgode";7
"1298";"Z";"80+";2015;"padci";225
"1299";"Z";"80+";2015;"druge.nezgode";30
"1300";"Z";"80+";2015;"samomori";10
"1301";"Z";"80+";2016;"transportne.nezgode";6
"1302";"Z";"80+";2016;"padci";225
"1303";"Z";"80+";2016;"druge.nezgode";38
"1304";"Z";"80+";2016;"samomori";12
"1305";"Z";"80+";2017;"transportne.nezgode";5
"1306";"Z";"80+";2017;"padci";323
"1307";"Z";"80+";2017;"druge.nezgode";41
"1308";"Z";"80+";2017;"samomori";15
"1309";"Z";"80+";2018;"transportne.nezgode";4
"1310";"Z";"80+";2018;"padci";386
"1311";"Z";"80+";2018;"druge.nezgode";46
"1312";"Z";"80+";2018;"samomori";12
"1313";"Z";"80+";2019;"transportne.nezgode";4
"1314";"Z";"80+";2019;"padci";368
"1315";"Z";"80+";2019;"druge.nezgode";38
"1316";"Z";"80+";2019;"samomori";12
"1317";"Z";"80+";2020;"transportne.nezgode";1
"1318";"Z";"80+";2020;"padci";523
"1319";"Z";"80+";2020;"druge.nezgode";51
"1320";"Z";"80+";2020;"samomori";19
